********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
********************************
Your choice: 2
--- Show NMB data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | May 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Oct 2025 | Nov 2025 | Dec 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | May 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Oct 2026 | Nov 2026 | Dec 2026 | Avg 2026 |
| Villa Whispering Palms         |     96.8 |    100.0 |     90.3 |     70.0 |     83.9 |     46.7 |     58.1 |     54.8 |     40.0 |      0.0 |     70.0 |     45.2 |     96.8 |    100.0 |    100.0 |    100.0 |     74.2 |     50.0 ‖     29.0 |      0.0 |      0.0 |     48.4 |     53.3 |     25.8 |     56.5 |
| Villa White Shell              |     83.9 |    100.0 |     87.1 |    100.0 |     90.3 |      0.0 |     25.8 |     32.3 |      0.0 |     80.6 |     80.0 |     38.7 |     51.6 |     78.6 |     83.9 |     93.3 |     67.7 |      0.0 ‖     35.5 |     16.1 |      0.0 |     90.3 |     16.7 |      0.0 |     44.5 |
| Villa Winking Owl              |     90.3 |     60.7 |     87.1 |     73.3 |     48.4 |      0.0 |     45.2 |     38.7 |     36.7 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |     83.9 |     90.0 ‖     61.3 |      9.7 |     36.7 |     54.8 |    100.0 |    100.0 |     78.0 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| ALL VILLAS (n=53)              |     62.0 |     76.0 |     76.5 |     65.0 |     50.2 |     26.5 |     36.4 |     39.0 |     14.9 |     36.9 |     49.0 |     52.6 |     58.4 |     95.5 |     92.8 |     66.7 |     55.5 |     31.6 ‖     42.1 |     29.5 |     15.2 |     32.0 |     42.6 |     38.5 |     50.0 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
‖ left: realized occupancy | right: bookings taken so far (still rising)
Avg 2026 mixes realized and forecast months, so it understates the year
'-' means no data was ever collected for that month
--- Show Intervilla data ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          | Jan 2025 | Feb 2025 | Mar 2025 | Apr 2025 | Mai 2025 | Jun 2025 | Jul 2025 | Aug 2025 | Sep 2025 | Okt 2025 | Nov 2025 | Dez 2025 | Jan 2026 | Feb 2026 | Mar 2026 | Apr 2026 | Mai 2026 | Jun 2026 ‖ Jul 2026 | Aug 2026 | Sep 2026 | Okt 2026 | Nov 2026 | Dez 2026 | Avg 2026 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- ‖ -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Bella Villa 141                |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |        - |        - |        - |        - |        - |        - |    100.0 |    100.0 |    100.0 |    100.0 |     96.8 |      0.0 ‖     22.6 |      0.0 |      0.0 |      0.0 |    100.0 |    100.0 |     59.9 |
| Hemingway by the Beach         |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |     29.0 |     75.0 |     93.5 |    100.0 |     67.7 |     43.3 ‖     64.5 |     22.6 |      0.0 |     51.6 |     83.3 |     64.5 |     57.9 |
| The Barefoot Oasis             |    100.0 |    100.0 |    100.0 |    100.0 |    100.0 |     30.0 |        - |        - |        - |        - |        - |        - |     61.3 |     71.4 |     74.2 |     93.3 |     90.3 |    100.0 ‖     80.6 |     25.8 |      0.0 |     38.7 |     53.3 |      0.0 |     57.4 |
| Villa 4Dreamers                |     35.5 |    100.0 |     96.8 |     20.0 |     96.8 |      0.0 |        - |        - |        - |        - |        - |        - |      9.7 |     82.1 |    100.0 |     23.3 |     90.3 |     40.0 ‖     58.1 |     16.1 |     23.3 |     74.2 |    100.0 |    100.0 |     59.8 |
| Villa 8Lakes                   |    100.0 |    100.0 |    100.0 |    100.0 |     48.4 |     23.3 |        - |        - |        - |        - |        - |        - |     25.8 |     92.9 |    100.0 |     66.7 |     19.4 |      0.0 ‖     29.0 |     61.3 |      0.0 |     32.3 |     13.3 |      0.0 |     36.7 |
| Villa Aguabella                |     87.1 |      0.0 |     48.4 |      0.0 |     51.6 |      0.0 |        - |        - |        - |        - |        - |        - |      0.0 |     89.3 |     77.4 |     36.7 |     48.4 |      0.0 ‖      0.0 |     35.5 |     10.0 |      0.0 |      0.0 |     67.7 |     30.4 |
| Villa Alica                    |     71.0 |     96.4 |    100.0 |    100.0 |     41.9 |      0.0 |        - |        - |        - |        - |        - |        - |     80.6 |     21.4 |      0.0 |     13.3 |     48.4 |      0.0 ‖     64.5 |     51.6 |     43.3 |     22.6 |     93.3 |     41.9 |     40.1 |
| Villa Amara                    |    100.0 |    100.0 |    100.0 |     90.0 |      0.0 |     23.3 |        - |        - |        - |        - |        - |        - |    100.0 |    100.0 |     90.3 |     73.3 |    100.0 |    100.0 ‖     61.3 |     58.1 |     43.3 |     71.0 |    100.0 |     29.0 |     77.2 |
| Villa Ambiente                 |     71.0 |     57.1 |     80.6 |     83.3 |     32.3 |      0.0 |        - |        - |        - |        - |        - |        - |     48.4 |     75.0 |    100.0 |     33.3 |     48.4 |     13.3 ‖     32.3 |      9.7 |      0.0 |     61.3 |      0.0 |     32.3 |     37.8 |
| Villa Aquamarine               |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 ‖     41.9 |     61.3 |     16.7 |     29.0 |     43.3 |     74.2 |     22.2 |
| Villa Arte Vita                |     54.8 |     50.0 |     96.8 |    100.0 |      0.0 |    100.0 |        - |        - |        - |        - |        - |        - |     32.3 |    100.0 |     93.5 |     86.7 |    100.0 |    100.0 ‖     61.3 |     35.5 |    100.0 |     96.8 |     23.3 |      0.0 |     69.1 |
| Villa Azur                     |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |      0.0 |      0.0 |      0.0 |     50.0 |      0.0 |      0.0 ‖      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      0.0 |      4.2 |
| Villa Barracuda                |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |      0.0 |     67.9 |     90.3 |     33.3 |     51.6 |      0.0 ‖     96.8 |     29.0 |      0.0 |      0.0 |     56.7 |     41.9 |     39.0 |
| Villa Bayshore                 |     41.9 |     82.1 |     58.1 |     33.3 |      0.0 |      0.0 |        - |        - |        - |        - |        - |        - |      6.5 |     82.1 |     90.3 |    100.0 |     77.4 |    100.0 ‖     64.5 |     22.6 |      0.0 |      0.0 |     20.0 |      0.0 |     47.0 |
| Villa Beachwalk                |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |        - |     12.9 |    100.0 |     87.1 |     30.0 |      0.0 |     23.3 ‖     58.1 |      3.2 |      0.0 |     29.0 |     93.3 |      0.0 |     36.4 |
| Villa Bella Vita               |    100.0 |     89.3 |     48.4 |     26.7 |      0.0 |      0.0 |        - |        - |        - |        - |        - |        - |     58.1 |    100.0 |    100.0 |     30.0 |     54.8 |     53.3 ‖     41.9 |     22.6 |      0.0 |     48.4 |     20.0 |     25.8 |     46.2 |
