********************************
Villa availability
********************************
1: Scrape webpages and store data
2: Load data and visualize it
3: Compare this year with the last
********************************
Your choice: 3
--- Compare nmb year over year ---
--- Jan-Jun 2025 vs Jan-Jun 2026 (percentage points) ---
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| Villa                          |      Jan |      Feb |      Mar |      Apr |      May |      Jun |     2025 |     2026 |    Delta |
| Villa Maui                     |        - |        - |        - |        - |        - |        - |        - |     79.3 |        - |
| Villa Oasis                    |    -48.4 |    +17.9 |     -6.5 |    +10.0 |    +32.3 |    +56.7 |     49.2 |     59.5 |    +10.3 |
| Villa Odyssey                  |    +64.5 |    +42.9 |    +51.6 |    +46.7 |    +54.8 |    +10.0 |     35.2 |     80.3 |    +45.1 |
| Villa Pearl of Paradise        |    +35.5 |    +64.3 |   +100.0 |     +3.3 |     +0.0 |    +63.3 |      5.9 |     50.3 |    +44.4 |
| Villa Penelope                 |     -6.5 |    +71.4 |    +48.4 |    +40.0 |   +100.0 |    +30.0 |     25.4 |     72.7 |    +47.2 |
| Villa Pura Vida                |        - |        - |        - |        - |        - |        - |        - |     65.5 |        - |
| Villa Pure 22                  |    -51.6 |     -7.1 |     -6.5 |    +33.3 |    -61.3 |    -80.0 |     82.5 |     53.6 |    -28.9 |
| Villa Pure Balance             |    -67.7 |     +0.0 |     +3.2 |     -3.3 |    +16.1 |    -16.7 |     84.6 |     73.2 |    -11.4 |
| Villa Riverside                |    -67.7 |     -7.1 |    +48.4 |    +40.0 |     +9.7 |     +0.0 |     33.9 |     37.8 |     +3.9 |
| Villa Riviera                  |    -71.0 |     -3.6 |     -3.2 |    -53.3 |   -100.0 |    -46.7 |     91.1 |     44.8 |    -46.3 |
| Villa Royal Sereni Tee         |    -32.3 |    +50.0 |    +45.2 |     +0.0 |     +0.0 |     +0.0 |      5.4 |     15.9 |    +10.5 |
| Villa Royal's Paradise         |    -61.3 |     +3.6 |     -9.7 |     +0.0 |     +0.0 |     +0.0 |     49.6 |     38.4 |    -11.2 |
| Villa Safira                   |    -54.8 |     -3.6 |     -6.5 |    +16.7 |     +0.0 |     +0.0 |     89.1 |     81.1 |     -8.0 |
| Villa Seas the Day             |    -32.3 |    +46.4 |    +64.5 |    +53.3 |     +0.0 |    +33.3 |     16.1 |     43.6 |    +27.6 |
| Villa Serene Sky               |        - |        - |        - |        - |        - |        - |        - |     71.4 |        - |
| Villa Serenissima              |   -100.0 |    -10.7 |    +35.5 |     +3.3 |    -25.8 |     +0.0 |     40.7 |     24.4 |    -16.3 |
| Villa Serenity                 |   -100.0 |    -25.0 |    +32.3 |     +0.0 |    +80.6 |    +83.3 |     62.4 |     74.2 |    +11.9 |
| Villa Solaris at the Lake      |     -6.5 |     +0.0 |     -3.2 |    -46.7 |    +16.1 |    +53.3 |     73.6 |     75.8 |     +2.2 |
| Villa Soleil Brillant          |        - |        - |        - |        - |        - |        - |        - |     65.7 |        - |
| Villa South West               |    +41.9 |     +0.0 |    +22.6 |    -70.0 |    -12.9 |     +0.0 |     57.0 |     53.9 |     -3.1 |
| Villa Splendid                 |    -83.9 |    -28.6 |    +54.8 |    +33.3 |    +41.9 |     +0.0 |     52.0 |     54.9 |     +2.9 |
| Villa Spreader Pearl           |    -35.5 |    -21.4 |    +35.5 |    -30.0 |    +71.0 |    +16.7 |     46.3 |     52.3 |     +6.0 |
| Villa Starview                 |    -12.9 |     +0.0 |     +0.0 |    -16.7 |     +6.5 |     +0.0 |     64.3 |     60.5 |     -3.9 |
| Villa Sunset Breeze            |    +61.3 |    +21.4 |     -3.2 |    -33.3 |    +71.0 |    -76.7 |     55.2 |     61.9 |     +6.7 |
| Villa Sunset Paradise          |    -19.4 |    +53.6 |    +29.0 |    +80.0 |    +80.6 |     +0.0 |     44.8 |     82.2 |    +37.3 |
| Villa The Beach                |        - |        - |        - |        - |        - |        - |        - |     74.8 |        - |
| Villa The Diamond              |    +67.7 |     +3.6 |     +0.0 |     +0.0 |    +80.6 |    +80.0 |     56.9 |     95.6 |    +38.7 |
| Villa The Magnificence         |     -6.5 |    +25.0 |     -9.7 |    +50.0 |     +0.0 |    +26.7 |     54.3 |     68.5 |    +14.3 |
| Villa The View                 |    -16.1 |     +3.6 |    -25.8 |     +0.0 |    +35.5 |     +6.7 |     75.5 |     76.1 |     +0.6 |
| Villa Tropicana                |    -22.6 |    +14.3 |     +0.0 |    -26.7 |    -35.5 |    -33.3 |     97.6 |     80.3 |    -17.3 |
| Villa Valentina                |     +0.0 |     +0.0 |     +0.0 |     +0.0 |    -35.5 |    +26.7 |     83.3 |     81.9 |     -1.5 |
| Villa Venezia                  |    -38.7 |     +0.0 |     -3.2 |    +20.0 |    +25.8 |   +100.0 |     65.4 |     82.7 |    +17.3 |
| Villa Victoria                 |    -96.8 |    -42.9 |    +48.4 |   +100.0 |   +100.0 |   +100.0 |     41.4 |     76.2 |    +34.8 |
| Villa Xanadu                   |        - |        - |        - |        - |        - |        - |        - |     90.8 |        - |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
| ALL VILLAS (n=83)              |    -33.4 |     +0.3 |     +8.7 |     +4.1 |    +17.7 |    +15.2 |     59.6 |     61.7 |     +2.1 |
+ ------------------------------ + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- + -------- +
Month columns are 2026 minus 2025, in percentage points; + means busier than last year
'-' means one of the two years has no data for that month
